,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dingle,55,PH,1575839603,90,11.0,122.67,74.14,13.27
1,Hilo,1,US,1575839607,58,19.71,-155.08,82.4,4.7
2,Carnarvon,0,ZA,1575839613,65,-30.97,22.13,60.98,17.92
3,Sibu,75,MY,1575840057,94,2.29,111.83,75.2,1.12
4,Cockburn Town,40,TC,1575839469,61,21.46,-71.14,82.4,8.05
5,Mataura,46,NZ,1575839603,83,-46.19,168.86,52.0,11.01
6,Upernavik,16,GL,1575839615,62,72.79,-56.15,2.34,8.84
7,Monduli,100,TZ,1575840061,85,-3.3,36.45,67.62,3.11
8,Leshukonskoye,100,RU,1575839817,97,64.9,45.76,33.13,14.65
9,Tasiilaq,96,GL,1575839622,63,65.61,-37.64,26.6,2.24
10,Plettenberg Bay,100,ZA,1575839823,82,-34.05,23.37,63.41,16.4
11,Punta Arenas,75,CL,1575839601,81,-53.16,-70.91,53.6,18.34
12,Terre Haute,20,US,1575839795,66,39.47,-87.41,57.0,14.99
13,Yellowknife,5,CA,1575839616,67,62.45,-114.38,-25.01,5.82
14,Aswan,79,EG,1575839843,44,24.09,32.9,60.8,9.17
15,Tiksi,1,RU,1575839613,86,71.64,128.87,-24.88,5.84
16,Georgetown,75,GY,1575839609,83,6.8,-58.16,80.6,4.7
17,Rikitea,100,PF,1575839600,81,-23.12,-134.97,73.17,25.01
18,Cape Town,26,ZA,1575839332,63,-33.93,18.42,69.01,14.99
19,Bluff,0,AU,1575839600,69,-23.58,149.07,74.68,12.21
20,Dawson Creek,20,CA,1575840076,72,55.76,-120.23,17.6,2.24
21,Khatanga,96,RU,1575839609,86,71.98,102.47,-10.07,2.42
22,Faanui,100,PF,1575839601,74,-16.48,-151.75,81.9,7.7
23,Shiyan,1,CN,1575840079,71,32.65,110.78,45.34,4.99
24,Jamestown,71,AU,1575839603,10,-33.21,138.6,77.23,3.96
25,Marsh Harbour,33,BS,1575839605,66,26.54,-77.06,74.01,12.48
26,Santa Maria del Oro,0,MX,1575840083,21,25.95,-105.37,77.11,9.55
27,Torbay,75,CA,1575839641,73,47.66,-52.73,27.0,16.11
28,Almaznyy,90,RU,1575840040,89,48.03,40.04,32.0,2.24
29,Kavieng,99,PG,1575839627,68,-2.57,150.8,84.83,5.12
30,Bosaso,0,SO,1575840087,88,11.28,49.18,79.54,7.27
31,Saskylakh,98,RU,1575839611,94,71.97,114.09,-11.97,7.54
32,Dikson,95,RU,1575839603,95,73.51,80.55,-2.99,20.18
33,Busselton,0,AU,1575839600,51,-33.64,115.35,55.0,10.51
34,Andros Town,40,BS,1575840091,65,24.73,-77.79,77.0,10.29
35,Ribeira Grande,75,PT,1575839829,93,38.52,-28.7,64.4,8.05
36,Ushuaia,75,AR,1575839602,53,-54.81,-68.31,50.0,8.05
37,Chicama,74,PE,1575839831,78,-7.84,-79.15,71.6,11.41
38,Avarua,100,CK,1575839617,69,-21.21,-159.78,78.8,11.41
39,Pinawa,100,CA,1575840097,61,50.15,-95.88,0.75,8.61
40,Luderitz,90,NA,1575839624,77,-26.65,15.16,68.0,4.7
41,Vaini,100,IN,1575839606,91,15.34,74.49,65.98,5.5
42,Barrow,0,AR,1575839604,25,-38.31,-60.23,77.9,12.62
43,Hithadhoo,96,MV,1575839629,82,-0.6,73.08,82.31,16.33
44,New Norfolk,100,AU,1575839614,51,-42.78,147.06,63.0,8.05
45,Atambua,0,ID,1575839826,74,-9.11,124.89,74.46,3.15
46,Albany,1,US,1575839406,62,42.65,-73.75,34.0,5.82
47,Sorland,75,NO,1575839818,63,67.67,12.69,28.4,10.29
48,Maragogi,79,BR,1575839855,78,-9.01,-35.22,80.69,20.0
49,Clyde River,1,CA,1575839617,75,70.47,-68.59,-16.6,10.29
50,Pangnirtung,20,CA,1575839602,60,66.15,-65.72,10.4,8.05
51,Cidreira,0,BR,1575839602,82,-30.17,-50.22,72.0,17.11
52,Souillac,90,FR,1575839607,87,45.6,-0.6,51.8,13.87
53,Kapaa,40,US,1575839613,74,22.08,-159.32,80.6,9.17
54,Kropotkin,30,RU,1575840119,87,45.43,40.58,34.77,4.43
55,Fortuna,90,US,1575839618,93,40.6,-124.16,55.0,5.82
56,Baruun-Urt,9,MN,1575840121,82,46.68,113.28,9.16,6.38
57,Hermanus,97,ZA,1575839600,76,-34.42,19.24,69.01,7.0
58,Puerto Ayora,20,EC,1575839607,65,-0.74,-90.35,78.8,13.87
59,Xinye,67,CN,1575840124,69,32.53,112.36,45.97,5.53
60,Sisimiut,100,GL,1575839660,65,66.94,-53.67,4.12,8.08
61,Harper,1,US,1575839617,43,30.3,-99.24,75.2,13.87
62,Sept-Iles,90,CA,1575840077,79,50.2,-66.38,23.0,6.93
63,Flin Flon,20,CA,1575840129,63,54.77,-101.88,-11.2,2.24
64,Araouane,100,ML,1575840130,13,18.9,-3.53,74.16,11.68
65,Nome,90,US,1575839620,64,30.04,-94.42,73.4,10.29
66,Sao Jose da Coroa Grande,79,BR,1575840132,78,-8.9,-35.15,80.69,20.0
67,East London,100,ZA,1575839606,79,-33.02,27.91,65.34,12.48
68,Le Port,100,FR,1575840134,72,42.87,1.37,53.01,5.01
69,Harstad,75,NO,1575840135,100,68.8,16.53,30.2,12.75
70,Tuatapere,33,NZ,1575839656,83,-46.13,167.69,52.0,11.01
71,Vardo,20,US,1575839818,41,39.62,-77.74,44.01,13.87
72,Naron,75,ES,1575840139,87,43.52,-8.15,55.0,3.36
73,Victoria,75,BN,1575839555,94,5.28,115.24,75.2,9.62
74,Port Elizabeth,1,US,1575839627,61,39.31,-74.98,46.99,8.05
75,Beira,75,ES,1575840142,87,43.2,-8.36,52.0,3.36
76,San Cristobal,65,HN,1575839602,55,14.68,-86.92,78.33,6.89
77,Ponta do Sol,100,BR,1575839599,89,-20.63,-46.0,71.69,7.94
78,Warrnambool,100,AU,1575840145,30,-38.38,142.48,72.0,8.99
79,Airai,0,TL,1575839605,69,-8.93,125.41,66.31,2.86
80,Hambantota,100,LK,1575839638,80,6.12,81.12,79.47,15.79
81,Charters Towers,0,AU,1575840148,75,-20.07,146.27,73.08,11.48
82,Rio Cuarto,40,AR,1575839652,24,-33.13,-64.35,89.6,9.17
83,Butaritari,100,KI,1575839627,70,3.07,172.79,80.31,5.06
84,Arraial do Cabo,24,BR,1575839603,65,-22.97,-42.02,78.8,19.46
85,Pisco,90,PE,1575839644,30,-13.71,-76.2,71.6,9.17
86,Severo-Kurilsk,100,RU,1575839617,85,50.68,156.12,20.88,15.23
87,Samarai,96,PG,1575840155,90,-10.62,150.67,77.54,3.44
88,Atuona,27,PF,1575839603,75,-9.8,-139.03,79.18,14.09
89,Maputo,75,MZ,1575840157,94,-25.97,32.57,69.8,13.87
90,Pevek,100,RU,1575839619,93,69.7,170.27,-1.32,15.41
91,Abu Kamal,97,SY,1575840159,51,34.45,40.92,55.0,7.4
92,Umm Kaddadah,0,SD,1575840034,23,13.6,26.69,67.01,14.23
93,Liancheng,51,CN,1575840161,74,24.05,105.06,37.02,2.04
94,Chokurdakh,0,RU,1575839603,73,70.62,147.9,-26.81,0.63
95,Provideniya,90,RU,1575839629,98,64.42,-173.23,33.8,22.37
96,Half Moon Bay,75,US,1575839843,82,37.46,-122.43,62.01,3.36
97,Khed Brahma,0,IN,1575840165,43,24.03,73.05,61.47,4.9
98,Constitucion,5,MX,1575839634,13,23.99,-104.67,78.8,6.93
99,Iskateley,98,RU,1575840168,94,67.68,53.15,28.94,21.21
100,Aklavik,40,CA,1575839629,75,68.22,-135.01,-14.8,6.93
101,Jutai,39,BR,1575839913,83,-1.71,-47.89,79.43,3.91
102,Zalantun,88,CN,1575840177,94,48.0,122.72,-2.4,2.51
103,Sainte-Thecle,90,CA,1575840178,74,46.82,-72.5,28.4,13.87
104,Te Anau,33,NZ,1575839642,69,-45.41,167.72,46.89,3.67
105,Kasongo-Lunda,100,CD,1575840007,98,-6.48,16.82,68.32,2.17
106,The Valley,40,AI,1575839904,65,18.22,-63.06,86.0,12.75
107,Jieshi,66,CN,1575840183,61,22.82,115.83,55.0,4.59
108,Vestmannaeyjar,0,IS,1575839631,60,63.44,-20.27,33.66,7.56
109,Cooma,31,AU,1575840185,82,-36.24,149.13,59.0,14.99
110,Tuktoyaktuk,20,CA,1575839600,68,69.44,-133.03,-16.6,11.41
111,Qaanaaq,89,GL,1575839618,60,77.48,-69.36,-3.57,8.43
112,Flinders,75,AU,1575839605,73,-34.58,150.85,72.0,6.93
113,Port Lincoln,100,AU,1575839832,79,-34.72,135.86,63.03,13.04
114,Hasaki,20,JP,1575839635,86,35.73,140.83,36.0,3.36
115,Gao,82,ML,1575840192,9,16.28,-0.04,75.02,8.86
116,Merauke,9,ID,1575840041,85,-8.49,140.4,73.63,5.66
117,Deputatskiy,100,RU,1575839612,88,69.3,139.9,-15.79,1.25
118,Esperance,90,AU,1575839610,71,-33.86,121.89,55.4,8.7
119,Acapulco,5,MX,1575839849,55,16.86,-99.88,86.0,4.7
120,Pundaguitan,28,PH,1575839824,76,6.37,126.17,81.64,6.58
121,Axim,4,GH,1575839606,89,4.87,-2.24,77.11,3.74
122,San Policarpo,73,PH,1575839658,82,12.18,125.51,79.84,6.82
123,Massaguet,0,TD,1575840200,28,12.48,15.44,71.6,4.7
124,Yulara,33,AU,1575839692,23,-25.24,130.99,84.2,10.29
125,Lavrentiya,100,RU,1575839647,86,65.58,-170.99,31.44,29.48
126,Rodino,100,RU,1575840203,96,52.5,80.2,25.2,7.87
127,Port Blair,0,IN,1575839625,77,11.67,92.75,78.62,16.42
128,Ostrovnoy,100,RU,1575840207,97,68.05,39.51,29.26,12.08
129,Bhuj,77,IN,1575840037,32,23.25,69.67,68.88,12.55
130,Jaypur,0,IN,1575840209,93,23.05,87.44,64.4,4.7
131,Katsuura,20,JP,1575840211,80,33.93,134.5,42.8,11.41
132,Shingu,0,JP,1575839624,71,33.72,135.99,50.67,9.42
133,Mountain Home,90,US,1575840161,100,43.13,-115.69,46.4,12.75
134,Buraydah,8,SA,1575840017,66,26.33,43.97,55.4,6.93
135,Thompson,20,CA,1575840215,62,55.74,-97.86,-14.8,9.17
136,Norman Wells,75,CA,1575840217,75,65.28,-126.83,-18.4,4.7
137,Horodnytsya,100,UA,1575840218,77,50.81,27.32,38.52,11.12
138,Codrington,100,AU,1575840219,73,-28.95,153.24,73.4,6.93
139,Sur,18,OM,1575839656,79,22.57,59.53,72.99,3.78
140,Klaksvik,100,FO,1575839822,69,62.23,-6.59,39.2,28.86
141,Hobart,50,AU,1575840222,48,-42.88,147.33,62.6,9.17
142,Camacha,75,PT,1575839638,68,33.08,-16.33,64.4,10.29
143,Saint George,75,GR,1575840225,100,39.45,22.34,44.6,1.03
144,Calamar,61,CO,1575840226,73,1.96,-72.65,82.49,4.5
145,Alofi,65,NU,1575840227,74,-19.06,-169.92,82.4,14.99
146,Povenets,100,RU,1575840228,87,62.85,34.83,31.41,8.66
147,Mahebourg,20,MU,1575840229,94,-20.41,57.7,79.0,3.36
148,Rovinj,75,HR,1575840230,93,45.08,13.64,48.2,2.24
149,Bambous Virieux,20,MU,1575840231,94,-20.34,57.76,79.0,3.36
150,Vikulovo,95,RU,1575840235,89,55.07,40.96,33.93,9.86
151,Port Alfred,97,ZA,1575840236,79,-33.59,26.89,64.99,5.99
152,Kenai,1,US,1575840237,86,60.55,-151.26,30.2,3.36
153,Polunochnoye,100,RU,1575840238,86,60.87,60.43,27.03,8.16
154,Poya,100,NC,1575840239,91,-21.35,165.16,77.0,10.49
155,Kez,100,RU,1575840241,95,57.9,53.72,33.31,14.97
156,Cap Malheureux,20,MU,1575840242,94,-19.98,57.61,79.0,3.36
157,Santa Isabel do Rio Negro,96,BR,1575840243,98,-0.41,-65.02,74.5,6.15
158,Touros,0,BR,1575839448,66,-5.2,-35.46,84.2,18.34
159,Batemans Bay,35,AU,1575840245,82,-35.71,150.18,66.99,4.0
160,Astakos,20,GR,1575840246,93,38.54,21.08,53.6,4.7
161,Faya,13,SA,1575840247,76,18.39,42.45,55.4,2.55
162,Lagoa,20,PT,1575840248,93,37.14,-8.45,61.0,6.93
163,Sabha,16,LY,1575840249,25,27.03,14.43,63.84,8.59
164,Liwale,78,TZ,1575840251,91,-9.8,37.92,71.47,2.93
165,Hobbs,1,US,1575840188,32,32.7,-103.14,70.0,20.8
166,Bredasdorp,97,ZA,1575840253,68,-34.53,20.04,66.2,14.99
167,Saint-Joseph,0,FR,1575840097,87,43.56,6.97,54.0,2.24
168,Tadine,100,NC,1575839839,84,-21.55,167.88,77.14,7.2
169,Quesnel,90,CA,1575840228,85,52.98,-122.49,19.4,6.93
170,Lakes Entrance,27,AU,1575840257,74,-37.88,147.99,64.99,8.03
171,Leh,98,IN,1575840258,18,34.16,77.58,2.03,3.06
172,Buarcos,90,PT,1575840260,100,40.16,-8.88,57.0,10.29
173,Lebu,85,ET,1575840098,83,8.96,38.73,54.95,1.32
174,Itarema,0,BR,1575840262,70,-2.92,-39.92,80.35,9.37
175,Honningsvag,20,NO,1575839829,63,70.98,25.97,28.4,10.29
176,Saint-Philippe,90,CA,1575840264,63,45.36,-73.48,32.0,24.16
177,Hofn,0,IS,1575840265,63,64.25,-15.21,33.67,19.55
178,Opuwo,0,NA,1575840266,52,-18.06,13.84,67.41,14.29
179,Thiruvananthapuram,40,IN,1575840268,88,8.48,76.92,78.8,2.24
180,Saint Anthony,90,US,1575840269,99,43.97,-111.68,37.0,12.75
181,Longyearbyen,20,NO,1575840270,77,78.22,15.63,3.2,5.82
182,Los Llanos de Aridane,40,ES,1575839769,68,28.66,-17.92,68.0,17.22
183,Jinchang,0,CN,1575840022,23,38.52,102.19,27.64,7.92
184,Vilyuysk,100,RU,1575840273,94,63.75,121.63,-26.19,9.69
185,Canillo,100,FR,1575840274,72,42.57,1.6,50.0,5.01
186,Verkhnevilyuysk,100,RU,1575839843,97,63.45,120.31,-23.3,6.29
187,Wilmington,1,US,1575840057,60,39.75,-75.55,44.01,11.41
188,Xuanhua,0,CN,1575839994,69,40.61,115.04,21.22,4.16
189,Rio Grande,36,BR,1575840119,44,-32.03,-52.1,78.8,10.29
190,Anadyr,90,RU,1575840280,85,64.73,177.51,19.4,24.61
191,Nouakchott,97,MR,1575839836,27,18.08,-15.98,75.2,6.93
192,Cap-aux-Meules,75,CA,1575840282,68,47.38,-61.86,24.8,11.41
193,Ninghai,0,CN,1575840283,100,29.29,121.42,42.01,2.24
194,Barra Patuca,62,HN,1575840284,75,15.8,-84.28,79.47,14.79
195,Balaipungut,92,ID,1575840286,99,1.11,101.31,72.27,0.74
196,Muzhi,100,RU,1575840287,97,65.4,64.7,11.95,5.23
197,Sturgeon Bay,1,US,1575840288,74,44.83,-87.38,41.0,5.82
198,Juneau,90,US,1575840289,93,58.3,-134.42,39.99,11.41
199,Inhambane,98,MZ,1575840290,77,-23.87,35.38,76.75,7.18
200,Loiza,20,PR,1575840295,69,18.43,-65.88,84.2,10.29
201,Srednekolymsk,100,RU,1575840296,100,67.46,153.71,-28.35,1.66
202,Cherskiy,100,RU,1575840297,99,68.75,161.3,-21.39,2.8
203,Watertown,90,US,1575840138,100,44.9,-97.12,26.01,10.29
204,Kutum,0,SD,1575840299,23,14.2,24.66,58.64,5.26
205,Nieuw Amsterdam,20,SR,1575840300,78,5.88,-55.08,79.0,13.87
206,Goderich,100,CA,1575840301,87,43.74,-81.71,41.0,5.01
207,Kamskoye Ustye,90,RU,1575840302,95,55.2,49.27,35.6,11.18
208,Alyangula,90,AU,1575839842,88,-13.85,136.42,80.6,6.31
209,Lata,92,IN,1575839852,4,30.78,78.62,23.04,6.85
210,Port-Gentil,40,GA,1575839854,88,-0.72,8.78,80.6,8.05
211,Nanortalik,100,GL,1575840307,65,60.14,-45.24,31.14,6.78
212,Port Hedland,0,AU,1575840308,31,-20.31,118.58,78.8,9.17
213,Atar,62,MR,1575839856,30,20.52,-13.05,67.62,17.87
214,Scarborough,36,GB,1575840310,75,54.28,-0.41,44.6,25.28
215,Batagay,0,RU,1575839833,80,67.65,134.64,-30.89,0.09
216,Methven,0,NZ,1575840312,44,-43.63,171.65,59.0,1.99
217,Nouadhibou,0,MR,1575840314,60,20.93,-17.03,68.0,17.22
218,Dargaville,0,NZ,1575840315,62,-35.94,173.86,65.68,7.4
219,Eureka,90,US,1575839878,76,40.8,-124.16,55.99,5.82
220,Matara,100,BI,1575840043,93,-3.48,29.48,58.98,1.14
221,San Pedro,100,AR,1575840318,21,-33.68,-59.66,92.1,3.87
222,Ovalle,0,CL,1575840066,25,-30.6,-71.2,76.51,9.62
223,Guerrero Negro,100,MX,1575840320,62,27.97,-114.04,72.61,13.62
224,Mar del Plata,80,AR,1575840321,60,-46.43,-67.52,58.24,7.34
225,Bereda,75,ES,1575840323,87,43.27,-7.54,54.0,3.36
226,Pasaco,5,GT,1575840324,59,13.98,-90.21,89.6,9.17
227,Emirdag,96,TR,1575840325,97,39.02,31.15,33.3,1.81
228,Morgan City,1,US,1575840326,56,29.7,-91.21,73.0,9.17
229,Sao Filipe,75,CV,1575840328,80,14.9,-24.5,69.24,24.56
230,Keffi,0,NG,1575840329,78,8.85,7.88,75.2,4.7
231,Sorong,96,ID,1575839819,94,-0.86,131.25,72.91,1.9
232,Viesite,100,LV,1575840331,86,56.35,25.56,42.51,16.58
233,Dunedin,0,NZ,1575840332,66,-45.87,170.5,53.28,21.79
234,Kaitangata,31,NZ,1575840333,70,-46.28,169.85,53.01,11.01
235,Saint-Francois,100,FR,1575840334,71,46.42,3.91,53.01,13.87
236,Kununurra,0,AU,1575840034,83,-15.77,128.74,80.6,5.82
237,Manavalakurichi,40,IN,1575840336,88,8.13,77.3,78.8,2.24
238,Geraldton,75,CA,1575840338,64,49.72,-86.95,1.4,8.05
239,Sarahan,63,IN,1575840339,25,31.51,77.79,20.08,13.13
240,Honiara,40,SB,1575840340,88,-9.43,159.96,78.8,2.24
241,Ajdabiya,98,LY,1575840341,64,30.75,20.22,64.26,7.27
242,Chuy,43,UY,1575840115,45,-33.69,-53.46,80.37,4.83
243,Elliot Lake,90,CA,1575840343,97,46.37,-82.65,37.4,12.75
244,Cabo San Lucas,5,MX,1575840344,74,22.89,-109.91,82.99,5.82
245,Bilibino,100,RU,1575840345,100,68.06,166.44,-32.39,2.82
246,Manaquiri,75,BR,1575840346,74,-3.43,-60.46,84.2,5.82
247,Caiaponia,99,BR,1575840347,84,-16.96,-51.81,77.76,2.06
248,Luau,100,CD,1575840349,98,-10.7,22.23,66.11,3.36
249,Lorengau,92,PG,1575839821,73,-2.02,147.27,82.89,5.37
250,Kieta,100,PG,1575840355,77,-6.22,155.63,81.64,3.47
251,Ancud,0,CL,1575840356,68,-41.87,-73.83,64.4,8.05
252,Evensk,0,RU,1575840357,71,61.92,159.24,-7.62,15.35
253,Henties Bay,98,NA,1575840358,86,-22.12,14.28,66.0,1.01
254,Zhangye,0,CN,1575840359,27,38.94,100.46,24.8,3.13
255,Tlanalapan,0,MX,1575840361,24,19.25,-97.28,66.06,8.21
256,Dulce Nombre de Culmi,52,HN,1575840362,53,15.08,-85.56,80.67,3.51
257,Waipawa,33,NZ,1575840363,63,-39.94,176.59,64.0,5.01
258,Quatre Cocos,20,MU,1575840364,94,-20.21,57.76,79.0,3.36
259,Aykhal,90,RU,1575840365,83,65.95,111.51,-13.0,3.51
260,Altamont,75,CA,1575840366,70,49.4,-98.5,1.4,19.46
261,Hamilton,75,CA,1575840284,80,43.26,-79.87,46.99,16.11
262,Pandhana,8,IN,1575840368,62,21.73,76.26,63.39,1.19
263,Sao Joao da Barra,40,BR,1575840369,65,-21.64,-41.05,78.8,11.41
264,Casper,20,US,1575840077,60,42.87,-106.31,48.0,27.51
265,Kuching,90,MY,1575840372,94,1.56,110.34,75.2,4.7
266,San Francisco,40,CO,1575840098,64,1.17,-76.88,71.6,8.05
267,Yar-Sale,100,RU,1575840374,93,66.83,70.83,9.14,22.21
268,Tra Vinh,27,VN,1575840375,92,9.93,106.35,68.9,3.31
269,Kirksville,90,US,1575840112,76,40.19,-92.58,50.0,6.93
270,Klyuchi,96,RU,1575840009,95,52.25,79.17,25.83,6.53
271,Banjar,99,ID,1575840027,93,-7.37,108.54,74.3,1.57
272,Solnechnyy,0,RU,1575839829,90,50.72,136.64,-16.22,2.28
